place_original	place_reconciled	place_wikidata_id	description_de	description	img_url	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Sarnen	Sarnen	Q63964	Schweizer Gemeinde und Hauptort des Kantons Obwalden	town in, and capital of, the Swiss canton of Obwalden	https://upload.wikimedia.org/wikipedia/commons/1/1d/Sarnen-See.jpg	46.896944444444,8.2469444444444	POINT(8.2469444444444 46.896944444444)	4379842-1	/m/01v1m4	7287056		http://purl.org/net7/korbo2/item/104708
Sausheim	Sausheim	Q495474	französische Gemeinde	commune in Haut-Rhin, France	https://upload.wikimedia.org/wikipedia/commons/2/29/Sausheim%2C_Mairie.jpg	47.786666666667,7.3730555555556	POINT(7.3730555555556 47.786666666667)	4377731-4	/m/03nphng	2975743		http://korbo2.org/v1/items/104900
Schaffhausen	Schaffhausen	Q9009	Stadt in der Schweiz. Hauptstadt des Kanton Schaffhausen.	Swiss city, capital of the canton of Schaffhausen	https://upload.wikimedia.org/wikipedia/commons/8/82/Schaffhausen_-_Rhein_-_Feuerthalen_IMG_9847.JPG	47.69653,8.63386	POINT(8.63386 47.69653)	4051993-4	/m/017jqc	7287070		http://purl.org/net7/korbo2/item/309
Schänzli	Muttenz	Q66191	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/c/c7/Muttenz_Wartenberg.jpg	47.52481, 7.64905	POINT(7.64905 47.52481) 	4256381-1	/m/0ct1qy	7286607		http://purl.org/net7/korbo2/item/409
Schinznach Bad	Schinznach-Bad	Q65328	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/2/27/Schinznach-Bad_kuracparko_013.jpg	47.449722222222,8.1694444444444	POINT(8.1694444444444 47.449722222222)	4272401-6	/m/0fy5zz	7287085		http://purl.org/net7/korbo2/item/362
Schliersee	Schliersee	Q260306	Markt im oberbayerischen Landkreis Miesbach	town in Bavaria, Germany	https://upload.wikimedia.org/wikipedia/commons/4/47/Schliersee_St._Sixtus-1.jpg	47.733333333333,11.866666666667	POINT(11.866666666667 47.733333333333)	4135437-0	/m/0d2jvc	2838502		http://purl.org/net7/korbo2/item/267
Schönau	Schönau	Q266721	Gemeinde im niederbayerischen Landkreis Rottal-Inn in Deutschland	municipality of Germany	https://upload.wikimedia.org/wikipedia/commons/6/61/08-07-27%2B15-17-47%2BSch%C3%B6nau%2C_Wasserschloss.JPG	48.483333333333,12.85	POINT(12.85 48.483333333333)	4585171-2	/m/02q7bt9	2837072		http://purl.org/net7/korbo2/item/315
Siena	Siena	Q2751	italienische Gemeinde	city in Tuscany, Italy and capital of the province of Siena	https://upload.wikimedia.org/wikipedia/commons/c/c9/02_Sienne_vue_de_San_Clemente.jpg	43.318333333333,11.331388888889	POINT(11.331388888889 43.318333333333)	4054903-3	/m/079yb	6541466	7011179	http://purl.org/net7/korbo2/item/2081
Sils-Maria Oberengadin	Sils im Engadin/Segl	Q64200	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/f/f0/Sils_Maria.jpg	46.433055555556,9.7663888888889	POINT(9.7663888888889 46.433055555556)	4137143-4	/m/0b3mf7	2658589		http://purl.org/net7/korbo2/item/463
Sissach	Sissach	Q66554	Gemeinde in der Schweiz	municipality and the capital of the district of Sissach	https://upload.wikimedia.org/wikipedia/commons/1/1b/Sissach-Kirche.jpg	47.466666666667,7.8166666666667	POINT(7.8166666666667 47.466666666667)	4118679-5	/m/0g81zp	7287180		http://korbo2.org/v1/items/104952
Solothurn	Solothurn	Q68965	Schweizer Stadt, Hauptort des Kantons Solothurn	city in Switzerland, capital of its canton	https://upload.wikimedia.org/wikipedia/commons/8/82/Besenval_stursen_solothurn.jpg	47.208055555556,7.5375	POINT(7.5375 47.208055555556)	4055458-2	/m/0d341	7287186		http://purl.org/net7/korbo2/item/258
Spiez	Spiez	Q69484	Gemeinde in der Schweiz	town in the canton of Bern, Switzerland	https://upload.wikimedia.org/wikipedia/commons/7/79/Spiez.JPG	46.683055555556,7.6663888888889	POINT(7.6663888888889 46.683055555556)	4118755-6	/m/02z3r0	2658536		http://purl.org/net7/korbo2/item/314
St. Gallen	St. Gallen	Q25607	Schweizer Stadt, Hauptort des Kantons St. Gallen	capital of St. Gallen canton in Switzerland	https://upload.wikimedia.org/wikipedia/commons/a/ab/Sankt_Gallen.jpg	47.423333333333,9.3772222222222	POINT(9.3772222222222 47.423333333333)	4051594-1	/m/0245n9	7287240		http://purl.org/net7/korbo2/item/259
